document_type,purpose,account_code
*,cash,1111
*,bank,1121
*,vat_input,1331
*,vat_output,33311
*,ar_trade,131
*,ap_trade,331
*,employee_advance,141
*,payroll,334
*,income_summary,911
*,retained_earnings,421
*,fx_revaluation,413
*,borrowings,3411
*,import_tax,3333
*,cit,3334
*,financial_income,515
*,unexplained_surplus,3381
*,fx_gain,515
*,fx_loss,635
*,unexplained_shortage,1381
*,inventory_goods,156
*,raw_materials,152
*,tools_supplies,153
*,goods_in_transit,151
*,outsourced_services,6421
*,fixed_assets,2113
*,prepaid_expenses,242
*,revenue_goods,5111
*,revenue_services,5112
*,sales_deduction,5111
*,finished_goods,155
*,work_in_progress,154
*,cogs,632
*,goods_on_consignment,157
*,internal_receivable,1368
*,construction_in_progress,241
*,production_materials,154
*,admin_expense,6421
