code,name,name_en,parent_code,balance_nature,is_summary,is_foreign_currency,detail_tracking,is_locked
111,Tiền mặt,,,0,0,0,,1
112,Tiền gửi không kỳ hạn,,,0,0,0,,1
113,Tiền đang chuyển,,,0,0,0,,1
121,Chứng khoán kinh doanh,,,0,0,0,,1
128,Đầu tư nắm giữ đến ngày đáo hạn,,,0,1,0,,1
1281,Tiền gửi có kỳ hạn,,128,0,0,0,,0
1282,Trái phiếu,,128,0,0,0,,0
1283,Cho vay,,128,0,0,0,,0
1288,Các khoản đầu tư khác nắm giữ đến ngày đáo hạn,,128,0,0,0,,0
131,Phải thu của khách hàng,,,2,0,0,customer,1
133,Thuế GTGT được khấu trừ,,,0,1,0,,1
1331,"Thuế GTGT được khấu trừ của hàng hóa, dịch vụ",,133,0,0,0,item,0
1332,Thuế GTGT được khấu trừ của TSCĐ,,133,0,0,0,,0
136,Phải thu nội bộ,,,0,1,0,,1
1361,Vốn kinh doanh ở đơn vị trực thuộc,,136,0,0,0,,0
1362,Phải thu nội bộ về chênh lệch tỷ giá,,136,0,0,0,,0
1363,Phải thu nội bộ về chi phí đi vay đủ điều kiện được vốn hóa,,136,0,0,0,,0
1368,Phải thu nội bộ khác,,136,0,0,0,,0
138,Phải thu khác,,,0,1,0,,1
1381,Tài sản thiếu chờ xử lý,,138,0,0,0,,0
1383,Thuế TTĐB của hàng nhập khẩu,,138,0,0,0,,0
1388,Phải thu khác,,138,0,0,0,,0
141,Tạm ứng,,,0,0,0,employee,1
151,Hàng mua đang đi đường,,,0,0,0,,1
152,"Nguyên liệu, vật liệu",,,0,0,0,item;warehouse,1
153,"Công cụ, dụng cụ",,,0,0,0,item;warehouse,1
154,"Chi phí sản xuất, kinh doanh dở dang",,,0,0,0,,1
155,Sản phẩm,,,0,0,0,item;warehouse,1
156,Hàng hóa,,,0,0,0,item;warehouse,1
157,Hàng gửi đi bán,,,0,0,0,item;warehouse,1
158,"Nguyên liệu, vật tư tại kho bảo thuế",,,0,0,0,item;warehouse,1
171,"Giao dịch mua, bán lại trái phiếu chính phủ",,,2,0,0,,1
211,Tài sản cố định hữu hình,,,0,0,0,,1
212,Tài sản cố định thuê tài chính,,,0,0,0,,1
213,Tài sản cố định vô hình,,,0,0,0,,1
214,Hao mòn tài sản cố định,,,1,1,0,,1
2141,Hao mòn TSCĐ hữu hình,,214,1,0,0,,0
2142,Hao mòn TSCĐ thuê tài chính,,214,1,0,0,,0
2143,Hao mòn TSCĐ vô hình,,214,1,0,0,,0
2147,Hao mòn BĐSĐT,,214,1,0,0,,0
215,Tài sản sinh học,,,0,1,0,,1
2151,Súc vật nuôi cho sản phẩm định kỳ,,215,0,1,0,,0
21511,Súc vật nuôi cho sản phẩm định kỳ chưa đạt đến giai đoạn trưởng thành,,2151,0,0,0,,0
21512,Súc vật nuôi cho sản phẩm định kỳ đạt đến giai đoạn trưởng thành,,2151,0,1,0,,0
215121,Nguyên giá,,21512,0,0,0,,0
215122,Giá trị khấu hao lũy kế,,21512,0,0,0,,0
2152,Súc vật nuôi lấy sản phẩm một lần,,215,0,0,0,,0
2153,Cây trồng theo mùa vụ hoặc lấy sản phẩm một lần,,215,0,0,0,,0
217,Bất động sản đầu tư,,,0,0,0,,1
221,Đầu tư vào công ty con,,,0,0,0,,1
222,"Đầu tư vào công ty liên doanh, liên kết",,,0,0,0,,1
228,Đầu tư khác,,,0,1,0,,1
2281,Đầu tư góp vốn vào đơn vị khác,,228,0,0,0,,0
2288,Đầu tư khác,,228,0,0,0,,0
229,Dự phòng tổn thất tài sản,,,1,1,0,,1
2291,Dự phòng giảm giá chứng khoán kinh doanh,,229,1,0,0,,0
2292,Dự phòng tổn thất đầu tư vào đơn vị khác,,229,1,0,0,,0
2293,Dự phòng phải thu khó đòi,,229,1,0,0,,0
2294,Dự phòng giảm giá hàng tồn kho,,229,1,0,0,,0
2295,Dự phòng tổn thất tài sản sinh học,,229,1,0,0,,0
241,Xây dựng cơ bản dở dang,,,0,1,0,,1
2411,Mua sắm TSCĐ,,241,0,0,0,,0
2412,Xây dựng cơ bản,,241,0,0,0,,0
2413,"Sửa chữa, bảo dưỡng định kỳ TSCĐ",,241,0,0,0,,0
2414,"Nâng cấp, cải tạo TSCĐ",,241,0,0,0,,0
242,Chi phí chờ phân bổ,,,0,0,0,,1
243,Tài sản thuế thu nhập hoãn lại,,,0,0,0,,1
244,"Ký quỹ, ký cược",,,0,0,0,,1
331,Phải trả cho người bán,,,2,0,0,vendor,1
332,"Phải trả cổ tức, lợi nhuận",,,1,0,0,,1
333,Thuế và các khoản phải nộp Nhà nước,,,2,1,0,,1
3331,Thuế giá trị gia tăng phải nộp,,333,2,1,0,,0
33311,Thuế GTGT đầu ra,,3331,2,0,0,,0
33312,Thuế GTGT hàng nhập khẩu,,3331,2,0,0,,0
3332,Thuế tiêu thụ đặc biệt,,333,2,0,0,,0
3333,"Thuế xuất, nhập khẩu",,333,2,0,0,,0
3334,Thuế thu nhập doanh nghiệp,,333,2,0,0,,0
3335,Thuế thu nhập cá nhân,,333,2,0,0,,0
3336,Thuế tài nguyên,,333,2,0,0,,0
3337,"Thuế nhà đất, tiền thuê đất",,333,2,0,0,,0
3338,Thuế bảo vệ môi trường và các loại thuế khác,,333,2,1,0,,0
33381,Thuế bảo vệ môi trường,,3338,2,0,0,,0
33382,Các loại thuế khác,,3338,2,0,0,,0
